dep_model_id,dpmd_nonm,ref_detail,dpmd_refid,remarks
1,"32c - Kipushi Cu-Pb-Zn","Page 227","Cox and Bernstein (1986)",NULL
2,"32c - Kipushi Cu-Pb-Zn","Page 227","Cox and Bernstein (1986)",NULL
3,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
4,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
5,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
6,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
7,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
8,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
9,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
10,"Synorogenic-synvolcanic Ni-Cu",NULL,"Reed and Dorr (1942)",NULL
11,"Massive Ni-Cu sulfide","Page 78","Cornwall (1971)",NULL
12,"38a - Lateritic Ni","Page 1","Benson (1963)",NULL
13,"38a - Lateritic Ni","Page 252","Cox and Singer (1986); Marsh and others (2013)",NULL
14,"Shear zone hosted Cu-Co-Au","Page 16","Vhay (1947)",NULL
15,"Iron oxide-copper-gold","Page 275","Slack (2006)",NULL
16,"Syn-sedimentary Cu-Co-Au","Page 99","Nash and Connor (1993)",NULL
17,"Shear zone hosted Cu-Co-Au","Page 16","Vhay (1947)",NULL
18,"Syn-sedimentary Cu-Co-Au","Page 99","Nash and Connor (1993)",NULL
19,"Iron oxide-copper-gold","Page 275","Slack (2006)",NULL
20,"Syn-sedimentary Cu-Co-Au","Page 99","Nash and Connor (1993)",NULL
21,"Shear zone hosted Cu-Co-Au","Page 16","Vhay (1947)",NULL
22,"Iron oxide-copper-gold","Page 275","Slack (2006)",NULL
23,"Iron oxide-copper-gold","Page 275","Slack (2006)",NULL
24,"Shear zone hosted Cu-Co-Au","Page 16","Vhay (1947)",NULL
25,"Syn-sedimentary Cu-Co-Au","Page 16","Nash (1989)",NULL
26,"24d - Blackbird Co-Cu",NULL,"Nold (1990)",NULL
27,"7a - Synorogenic-synvolcanic Ni-Cu","Page 38","Schulz and others (2014)",NULL
28,"7a - Synorogenic-synvolcanic Ni-Cu","Page 38","Schulz and others (2014)",NULL
29,"Conduit-type Ni-Cu-PGE ","Page 8-3","Clow and others (2017)",NULL
30,"Conduit-type Ni-Cu-PGE ","Page 8-3","Clow and others (2017)",NULL
31,"Contact-type magmatic Ni-Cu-PGE","Page 51","Black and others (2018)",NULL
32,"Contact-type magmatic Ni-Cu-PGE","Page 8-1","Barber and others (2014)",NULL
33,"Contact-type magmatic Ni-Cu-PGE","Page 8-1","Barber and others (2014)",NULL
34,"Contact-type magmatic Ni-Cu-PGE","Page 8-1","Barber and others (2014)",NULL
35,"Contact-type magmatic Ni-Cu-PGE","Page 8-1","Barber and others (2014)",NULL
36,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
37,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
38,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
39,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
40,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
41,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
42,"Conduit-type Ni-Cu-PGE ","Page 84","Fletcher and others (2018)",NULL
43,"Southeast Missouri Pb-Zn","Page 220-221","Briskey (1986); Leach and others (2010)",NULL
44,"Mississippi Valley-type","Page 1","Brooke (1981)",NULL
45,"Iron oxide-copper-gold","Page 154","Nold and others (2014)",NULL
46,"Shale-hosted massive sulfide","Page 8-1","Winckers and others (2013)",NULL
47,"Shale-hosted massive sulfide","Page 8-1","Winckers and others (2013)",NULL
48,"Shale-hosted massive sulfide","Page 8-1","Winckers and others (2013)",NULL
49,"38a - Lateritic Ni","Page 375","U.S. Geological Survey and U.S. Bureau of Mines (1968)",NULL
50,"Five-element Veins","Page 351","Hitzman and others (2017)",NULL
51,"Volcanogenic massive sulfide, Cyprus model","Page 8-1","Marek and others (2010)",NULL
52,"38a - Lateritic Ni","Page 28","Hull (1978)",NULL
53,"38a - Lateritic Ni","Pate 1653","Cumberlidge and Chace (1968)",NULL
54,"Fe skarn","Page 73","Lapham (1968)",NULL
55,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
56,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
57,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
58,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
59,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
60,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
61,"Nickel-Cobalt Laterites","Page 10","Marsh and others (2013)",NULL
62,"Massive sulfide","Page 13","U.S. Geological Survey and U.S. Bureau of Mines (1968)",NULL
