host_name_auto_id,geol_min_occ_id,host_name
1,1,"Bornite carbonate sequence"
2,2,"Bornite carbonate sequence"
3,2,"Beaver Creek phyllite"
4,13,"Galice Formation (1)"
5,14,"Apple Creek Formation"
6,15,"Apple Creek Formation"
7,16,"Apple Creek Formation"
8,17,"Apple Creek Formation"
9,18,"Apple Creek Formation"
10,19,"Apple Creek Formation"
11,20,"Apple Creek Formation"
12,21,"Yellowjacket Formation"
13,22,"Penobscot Formation"
14,23,"Penobscot Formation"
15,24,"Yellow Dog Peridotites"
16,24,"Yellow Dog Peridotites"
17,25,"Yellow Dog Peridotites"
18,25,"Yellow Dog Peridotites"
19,26,"Yellow Dog Peridotites"
20,27,"Partridge River Intrusion"
21,28,"South Kawishiwi Intrusive"
22,29,"South Kawishiwi Intrusive"
23,30,"South Kawishiwi Intrusive"
24,31,"South Kawishiwi Intrusive"
25,39,"LaMotte Sandstone"
26,39,"Bonneterre Dolomite"
27,40,"Bonneterre Dolomite"
28,42,"Newland Formation"
29,43,"Newland Formation"
30,44,"Newland Formation"
31,46,"Burro Mountains Batholith"
32,47,"Josephine Ophiolite"
33,48,"Galice Formation"
34,50,"Buffalo Springs Formation"
35,58,"Copperhill Formation"
