loc_pt_ref_detail_id,loc_pt_id,ref_detail
1,1,"Page 10-14, Figure 10-6"
2,2,"Page 10-14, Figure 10-6"
3,4,"Plate 21"
4,5,"Plate 21"
5,6,"Plate 21"
6,7,"Plate 21"
7,8,"Plate 21"
8,9,"Plate 21"
9,10,"Plate 22"
10,11,"Plate 22"
11,13,"Plate 1"
12,14,"Figure 3"
13,15,"Figure 12"
14,16,"Figure 2"
15,17,"Figure 2"
16,18,"Figure 10.1"
17,19,"Figure 6.1"
18,20,"Figure 4"
19,21,"Figure 4"
20,22,"Figure 4"
21,23,"Figure 4"
22,24,"Plate 1"
23,25,"Map 6"
24,26,"Plate 20"
25,26,"Page 58"
26,27,"Figure 1"
27,27,"Page 321"
28,28,"Figure 18-1"
29,29,"Figure 9.4"
30,30,"Figure 9.4"
31,31,"Map B: Tamarack"
32,32,"Figure 4-4"
33,33,"Figure 4-4"
34,34,"Figure 4-4"
35,35,"Figure 4-4"
36,36,"Map B: Tamarack"
37,37,"Slide 30"
38,38,"Slide 30"
39,39,"Slide 30"
40,40,"Slide 30"
41,41,"Slide 30"
42,42,"Slide 30"
43,43,"Slide 30"
44,44,"Page 65, Figure 1"
45,45,"Page 65, Figure 1"
46,48,"Figure 1"
47,49,"Figure 7.3"
48,50,"Figure 7.3"
49,51,"Figure 7.3"
50,52,"Figure 7.3"
51,53,"Figure 7.3"
52,54,"Figure 7.3"
53,55,"Figure 7.3"
54,57,"Figure 96"
55,58,"Plate 14"
56,59,"Plate 14"
57,60,"Map 24"
58,61,"Figure 2"
59,62,"Figure 13"
60,63,"Figure 13"
61,64,"Plate 38"
62,65,"Plate 38"
63,66,"Figure 2"
64,67,"Figure 2"
65,68,"Page 3, Figure 1"
66,69,"Page 3, Figure 1"
67,70,"Page 3, Figure 1"
68,71,"Page 3, Figure 1"
69,72,"Page 3, Figure 1"
70,73,"Page 3, Figure 1"
71,74,"Page 3, Figure 1"
72,75,"Plate 1"
