site_auto_id,site_id,site_name,last_updt,min_reg_id,approx_lon,approx_lat,remarks
1,AK00012,"Bornite Project",6/6/2018,Mr00061,-156.944535,67.063593,NULL
2,AK00017,"Ambler District",6/21/2018,Mr00061,-156.150351,67.137811,NULL
3,AK00205,"Bohemia Basin",4/16/2018,Mr00144,-136.428000,57.980000,NULL
4,AK00206,"Chichagof District",4/13/2018,Mr00144,-135.199000,57.614000,NULL
5,AK00207,"Brady Glacier",4/16/2018,NULL,-136.932000,58.552000,NULL
6,CA00070,"Pine Flat",4/23/2018,NULL,-123.994000,41.991000,NULL
7,CA00071,Gasquet,6/21/2018,NULL,-123.996000,41.869000,NULL
8,ID00005,Blackbird,5/8/2018,Mr00145,-114.343000,45.117000,NULL
9,ID00050,"Idaho Cobalt Project",5/8/2018,Mr00145,-114.362000,45.139000,NULL
10,ID00051,"Iron Creek",5/8/2018,Mr00145,-114.118000,44.960000,NULL
11,ID00052,"Salmon Canyon",4/16/2018,NULL,-114.558000,45.300000,NULL
12,ID00054,"Blackbird District",4/16/2018,Mr00145,-114.308000,45.107000,NULL
13,ME00002,Union,5/11/2018,NULL,-69.241000,44.199000,NULL
14,ME00003,Warren,5/11/2018,NULL,-69.256000,44.175000,NULL
15,MI00001,Eagle,4/17/2018,NULL,-87.889000,46.747000,NULL
16,MN00002,NorthMet,4/16/2018,NULL,-91.970000,47.620000,NULL
17,MN00003,"Birch Lake, Maturi, Spruce Road, Teck’s Mesaba (Babbit)",4/11/2018,NULL,-91.740000,47.784000,NULL
18,MN00008,Tamarack,4/16/2018,NULL,-93.116000,46.685000,NULL
19,MO00001,"Fredericktown District",5/10/2018,Mr00036,-90.217000,37.573000,NULL
20,MO00002,Higdon,6/21/2018,Mr00036,-90.142000,37.608000,NULL
21,MO00013,Madison,5/8/2018,Mr00036,-90.276000,37.546000,NULL
22,MO00014,Boss-Bixby,5/10/2018,NULL,-91.170000,37.666000,NULL
23,MT00002,"Black Butte",4/23/2018,Mr00148,-110.894000,46.775000,NULL
24,MT00029,"Smith River District",4/19/2018,Mr00148,-111.149000,46.836000,NULL
25,NC00001,"Webster District",5/11/2018,Mr00047,-83.213000,35.342000,NULL
26,NM00041,"Black Hawk",5/11/2018,Mr00154,-108.501000,32.725000,NULL
27,NM00042,"Black Hawk District",5/18/2018,Mr00154,-108.501000,32.725000,NULL
28,OR00001,Turner,4/18/2018,NULL,-123.758000,41.999000,NULL
29,OR00002,"Eight Dollar Mountain",5/10/2018,Mr00155,-123.663000,42.258000,NULL
30,OR00005,"Nickel Mountain",4/26/2018,NULL,-123.437000,42.963000,NULL
31,PA00001,Cornwall,4/19/2018,NULL,-76.411000,40.267000,NULL
32,PR00001,Guanajibo,7/17/2018,NULL,-67.159816,18.136267,NULL
33,PR00002,"Punta Guanajibo",7/17/2018,NULL,-67.178359,18.163555,NULL
34,PR00003,"Las Mesas",7/17/2018,NULL,-67.109461,18.186320,NULL
35,PR00004,"Rosario Southeast group",7/17/2018,NULL,-67.030763,18.167927,NULL
36,PR00005,"Maricao Southwest group",7/17/2018,NULL,-66.985986,18.152549,NULL
37,TN00001,"Ducktown District",5/11/2018,Mr00037,-84.383000,35.049000,"Some mineralization extends into Fannin County, GA, and Cherokee County, NC"
